frame_index,decode_kind,profile,payload_offset,vendor_id,product_id,usage_page,usage,source_report_id,payload_length,contact_index,raw_contact_id,assigned_contact_id,raw_flags,assigned_flags,raw_x,raw_y,decoded_x,decoded_y,slot_offset,slot_hex
70,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,1,0x08127200,0x00000007,0x07,0x07,21009,768,2442,2157,10,070072120811520003
71,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0x841C8600,0x00000004,0x04,0x07,2573,768,3776,1711,1,0400861C840D0A0003
71,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,1,0x08127200,0x00000007,0x07,0x07,21009,768,2442,2157,10,070072120811520003
72,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0x881C8800,0x00000004,0x04,0x07,3597,768,3777,1713,1,0400881C880D0E0003
72,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,1,0x08127400,0x00000007,0x07,0x07,19985,768,2443,2157,10,0700741208114E0003
73,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0x8A1C8800,0x00000004,0x04,0x07,4621,768,3777,1714,1,0400881C8A0D120003
73,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,1,0x0A127400,0x00000007,0x07,0x07,19473,768,2443,2158,10,070074120A114C0003
74,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0x8E1C8400,0x00000004,0x04,0x07,5645,768,3775,1716,1,0400841C8E0D160003
74,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,1,0x0A127400,0x00000007,0x07,0x07,19473,768,2443,2158,10,070074120A114C0003
75,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0x921C8200,0x00000004,0x04,0x07,6157,768,3774,1718,1,0400821C920D180003
75,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,1,0x08127200,0x00000007,0x07,0x07,18961,768,2442,2157,10,0700721208114A0003
76,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0x961C8200,0x00000004,0x04,0x07,6669,768,3774,1720,1,0400821C960D1A0003
76,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,1,0x08127200,0x00000007,0x07,0x07,18449,768,2442,2157,10,070072120811480003
77,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0x981C8200,0x00000004,0x04,0x07,7181,768,3774,1721,1,0400821C980D1C0003
77,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,1,0x08127200,0x00000007,0x07,0x07,18449,768,2442,2157,10,070072120811480003
78,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0x9A1C8200,0x00000004,0x04,0x07,7181,768,3774,1722,1,0400821C9A0D1C0003
78,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,1,0x08127200,0x00000007,0x07,0x07,17937,768,2442,2157,10,070072120811460003
79,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0x9C1C8200,0x00000004,0x04,0x07,7693,768,3774,1723,1,0400821C9C0D1E0003
79,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,1,0x06127400,0x00000007,0x07,0x07,17937,768,2443,2156,10,070074120611460003
80,PtpNative,Official,0,0x004C,0x0324,0x00,0x00,0x05,50,0,0x9C1C8000,0x00000004,0x04,0x07,7693,768,3773,1723,1,0400801C9C0D1E0003
